celeb,posts,followers,following
['vidya balan'],"1,042",3.9m,134
['shilpa shetty'],"3,019",23.6m,331
['bipasha basu'],"4,062",10m,313
['john abraham'],566,9.8m,74
['abhishek bachan'],"1,059",8.1m,330
['neha dhupia'],"3,724",5.1m,639
['aishwarya rai'],268,9.8m,1
